;name;time;avr memory;reduce
0;assur44.json;900.4462044239044;284.2463086569579;5346
1;butcher.json;10.406879901885986;362.3199439858491;591
2;caprasse.json;0.34552431106567383;275.5078125;260
3;cassou.json;6.389217853546143;276.82956112132354;194
4;chandra4.json;0.10221457481384277;275.4453125;30
5;chandra5.json;0.45540380477905273;275.5015625;113
6;chandra6.json;2.801070213317871;275.5078125;465
7;chemequ.json;1.8143348693847656;343.929375;137
8;chemequs.json;3.6365408897399902;318.83130450581393;171
9;chemkin.json;1410.2471721172333;312.8316924113507;5917
10;cohn2.json;14.315954685211182;166.55532094594594;432
11;cohn3.json;808.8826167583466;229.9327128670992;7494
12;comb3000.json;1.8026008605957031;151.93896484375;169
13;comb3000s.json;0.7342166900634766;152.63401442307693;168
14;conform1.json;0.07910346984863281;153.6171875;40
15;cpdm5.json;169.10707473754883;163.50126582864337;2803
16;cyclic5.json;0.8697471618652344;362.27272727272725;452
17;cyclic6.json;72.66728663444519;361.4531734913793;4579
18;dessin1.json;14.671543836593628;365.3138894714765;649
19;dessin2.json;26.642963409423828;368.79452833488807;889
20;katsura6.json;26.207528352737427;362.109375;698
